,,,,Plymouth,South West,England
,,,,Unitary Authority,Region,Country
All Usual Residents Aged 16 and Over,Count,Persons,Mar-11,211502,4359257,42989620
Single (Never Married or Never Registered a Same-Sex Civil Partnership),Count,Persons,Mar-11,78544,1357114,14889928
Single (Never Married or Never Registered a Same-Sex Civil Partnership),Percentage,Persons,Mar-11,37.1,31.1,34.6
Married,Count,Persons,Mar-11,90765,2134822,20029369
Married,Percentage,Persons,Mar-11,42.9,49,46.6
In a Registered Same-Sex Civil Partnership,Count,Persons,Mar-11,464,9768,100288
In a Registered Same-Sex Civil Partnership,Percentage,Persons,Mar-11,0.2,0.2,0.2
Separated (but Still Legally Married or Still Legally in a Same-Sex Civil Partnership),Count,Persons,Mar-11,5190,101183,1141196
Separated (but Still Legally Married or Still Legally in a Same-Sex Civil Partnership),Percentage,Persons,Mar-11,2.5,2.3,2.7
Divorced or Formerly in a Same-Sex Civil Partnership which is Now Legally Dissolved,Count,Persons,Mar-11,22272,428813,3857137
Divorced or Formerly in a Same-Sex Civil Partnership which is Now Legally Dissolved,Percentage,Persons,Mar-11,10.5,9.8,9
Widowed or Surviving Partner from a Same-Sex Civil Partnership,Count,Persons,Mar-11,14267,327557,2971702
Widowed or Surviving Partner from a Same-Sex Civil Partnership,Percentage,Persons,Mar-11,6.7,7.5,6.9
"Marital and Civil Partnership Status, 2011 (KS103EW), Mar11",LastUpdated,30-Jan-13,,,,
"Marital and Civil Partnership Status, 2011 (KS103EW), Mar11",Source,Office for National Statistics,,,,
Marital and Civil Partnership Status (KS103EW),National Statistics,,,,,
"This material is Crown Copyright. You may re-use this information (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence. To view this licence, visit www.nationalarchives.gov.uk/doc/open-government-licence Information Policy Team, The National Archives, Kew, London TW9 4DU, or email:psi@nationalarchives.gsi.gov.uk. When reproducing this material, the source should be acknowledged.",,,,,,
